domain,window,cases_total,cases_with_number,revenue_sales,leads_inquiries,traffic,conversion,seo_positions,ad_performance,reach_views,other
aim.nu,today,66,0,0,0,0,0,0,0,0,0
akqa.com,after,19,8,0,1,1,0,0,0,4,4
akqa.com,before,22,11,0,1,1,0,0,0,4,6
akqa.com,today,41,0,0,0,0,0,0,0,0,0
alexander-van-der-kooij,today,34,25,12,0,7,8,1,8,1,0
alexxdesign.nl,after,24,0,0,0,0,0,0,0,0,0
alexxdesign.nl,before,7,0,0,0,0,0,0,0,0,0
alexxdesign.nl,today,5,0,0,0,0,0,0,0,0,0
alfred.nl,before,3,0,0,0,0,0,0,0,0,0
aliciadupre,today,12,3,3,0,0,0,0,0,0,0
aliens.nl,after,11,0,0,0,0,0,0,0,0,0
aliens.nl,before,13,0,0,0,0,0,0,0,0,0
aliens.nl,today,11,0,0,0,0,0,0,0,0,0
alientrick.com,after,48,0,0,0,0,0,0,0,0,0
alientrick.com,before,10,0,0,0,0,0,0,0,0,0
alientrick.com,today,90,0,0,0,0,0,0,0,0,0
alion.nl,after,31,1,0,0,0,0,0,1,0,0
alion.nl,before,32,0,0,0,0,0,0,0,0,0
alion.nl,today,12,0,0,0,0,0,0,0,0,0
aliveandkicking.nl,after,12,1,1,0,0,0,0,0,0,0
aliveandkicking.nl,today,17,0,0,0,0,0,0,0,0,0
all-it.nl,after,21,0,0,0,0,0,0,0,0,0
all-it.nl,before,21,0,0,0,0,0,0,0,0,0
all-it.nl,today,21,0,0,0,0,0,0,0,0,0
alldots.nl,after,13,0,0,0,0,0,0,0,0,0
alldots.nl,before,12,0,0,0,0,0,0,0,0,0
alldots.nl,today,1,0,0,0,0,0,0,0,0,0
allison.nl,after,19,0,0,0,0,0,0,0,0,0
allison.nl,before,19,0,0,0,0,0,0,0,0,0
allison.nl,today,19,0,0,0,0,0,0,0,0,0
allyourmedia.nl,after,8,1,0,0,1,0,0,0,0,0
allyourmedia.nl,before,87,1,0,0,1,0,0,0,0,0
allyourmedia.nl,today,78,0,0,0,0,0,0,0,0,0
alonamarketing.nl,after,59,30,12,4,0,4,1,3,0,13
alonamarketing.nl,before,37,19,7,3,0,3,1,0,0,8
alonamarketing.nl,today,28,9,5,0,0,3,0,0,0,4
amandapolling,today,9,0,0,0,0,0,0,0,0,0
amazing.nl,after,3,2,0,0,0,0,0,0,0,2
amazing.nl,today,29,1,0,1,0,0,0,0,0,0
amcreative.io,today,8,0,0,0,0,0,0,0,0,0
amigosagency.nl,after,38,1,0,0,0,0,0,0,1,0
amigosagency.nl,before,12,0,0,0,0,0,0,0,0,0
amigosagency.nl,today,16,2,0,0,0,0,0,0,2,0
ancovangeffen,today,14,2,1,2,0,0,0,0,0,0
annabel.nl,after,42,0,0,0,0,0,0,0,0,0
annabel.nl,before,42,0,0,0,0,0,0,0,0,0
annabel.nl,today,13,0,0,0,0,0,0,0,0,0
annikarettig,today,16,4,3,0,0,0,0,0,0,1
anoir-bensalah-5a4a9477,today,28,0,0,0,0,0,0,0,0,0
anothersite.nl,after,93,0,0,0,0,0,0,0,0,0
anothersite.nl,before,100,0,0,0,0,0,0,0,0,0
anthonyprokos,today,42,0,0,0,0,0,0,0,0,0
antonkuijntjes,today,38,0,0,0,0,0,0,0,0,0
