domain,window,cohort,avg_specificity,client_keys,demonstrated_combo,demonstrated_depth,hhi_channel,hhi_craft,hhi_geo,hhi_industry,hhi_job,hhi_model,hhi_stage,inc_n_stated_channel,inc_n_stated_craft,inc_n_stated_geo,inc_n_stated_industry,inc_n_stated_job,inc_n_stated_model,inc_n_stated_stage,inc_top1_channel,inc_top1_craft,inc_top1_geo,inc_top1_industry,inc_top1_job,inc_top1_model,inc_top1_stage,n_anonymous_rows,n_carried,n_case_rows,n_distinct_clients,n_dropped,n_new_clients,n_stated_channel,n_stated_craft,n_stated_geo,n_stated_industry,n_stated_job,n_stated_model,n_stated_stage,pivot_year,share_full_page,share_numeric,top1_channel,top1_craft,top1_geo,top1_industry,top1_job,top1_model,top1_stage,topbucket_channel,topbucket_craft,topbucket_geo,topbucket_industry,topbucket_job,topbucket_model,topbucket_stage,truncated
boomerangagency.com,after,control,2.087,abnamro;ahterra;albertheijn;andrelon;andrlon;beyondmeat;boomerang;campina;chocomel;desperados;eurail;fanta;heineken;interpolis;liga;mentos;oldamsterdam;parbo;pepsi;rijksmuseum;unicef;varkensinnood;zwitsal,industry+channel,2,0.333,0.211,0.222,0.389,0.2,1.0,1.0,0,0,0,0,0,0,0,,,,,,,,11,21,46,23,19,2,12,16,6,6,5,1,1,2025,0.739,0.087,0.5,0.375,0.333,0.5,0.2,1.0,1.0,Social media organisch,"Video, animatie & fotografie",Heel Nederland (landelijk),"Fashion, beauty & personal goods",Bewustwording & gedragsverandering,Webshop consumenten (D2C),Groot / corporate / marktleider,True
creativeflavours.nl,after,control,2.312,beautyxl;brandloyalty;diergaardeblijdorp;easywalker;galdersfeestweekend;ggd;guesthousehotel;iamhardwellthemovie;magicbaby;mammoetroadcargo;opstijgendvochtnl;pathvisuals;revit;soccerboxer;tapiocacompany;topvoorkinderen,channel,1,0.556,0.266,0.306,0.12,0.333,1.0,1.0,3,6,3,6,2,2,0,1.0,0.5,0.667,0.333,0.5,1.0,,0,10,23,16,1,6,6,13,7,10,3,2,1,2020,0.688,0.0,0.667,0.385,0.429,0.2,0.333,1.0,1.0,Website & CMS,Branding & huisstijl,Nederlandse stad of plaats,"Nonprofits, charities & associations",Website verouderd of nieuw nodig,Webshop consumenten (D2C),Groot / corporate / marktleider,True
cornerstones.nl,before,narrower,1.571,barcolichttotaal;brasseriehartighsoed;ceseasy;cesnederland;desteigerconcurrent;gemeentegroningen;goedlicht;hetsteenhuys;kshkantoorspecialisten;laundryuse;leondoro;nicecubes;plaggenmarsch;quebixnl;quebixwoonvoorziening;rickmeinenstudio;rijschooljalving;supremerelatiegeschenken;tiseca;tuincentrumnoordbarge;yourizon,craft+job+channel,3,0.82,0.392,0.333,0.265,0.592,1.0,,,,,,,,,,,,,,,,0,,27,21,,,10,21,3,7,7,2,0,2023,0.143,0.048,0.9,0.524,0.333,0.429,0.714,1.0,,Webshop & e-commerceplatform,Website & webdesign,Nederland plus buurlanden,Retail & e-commerce (general consumer goods),Webshop & online verkoop,Webshop consumenten (D2C),,False
2manydots.nl,after,control,2.5,acait;alcoholvrijbierhuis;alku;amberalerteurope;avia;avianederland;brabantpartners;crowefoederer;dbswtravelmedia;elspessers;frissekoppen;grancanarianl;gstarraw;hip;ikbeneenbrabandernl;jacobsvanrooij;juiceyou;klokjerond;klokjerondhetwittewiel;koti;mondiaen;netpresenter;omroepbrabant;omroepbrabantreclame;opcharge;regionaleuitvoeringsdienstzeeland;rudzeeland;sapje;smctilburg;stichtingamberalerteurope;teekenskarstens;teleperformance;teleperformancebenelux;univers;vandermeijsglas;vivisol,craft+stage,2,0.175,0.427,0.28,0.085,0.2,0.284,0.702,11,19,8,14,13,5,8,0.455,0.579,0.625,0.143,0.462,0.4,0.875,0,11,66,36,7,25,21,27,15,25,20,9,11,2023,0.528,0.278,0.286,0.63,0.467,0.12,0.35,0.333,0.818,SEO & organische vindbaarheid,Website & webdesign,Regionaal (binnen Nederland),Retail & e-commerce (general consumer goods),Website verouderd of nieuw nodig,Gemengd,Omvang in cijfers,True
dentsu.com,after,control,2.423,adobe;bowelcanceraustralia;brita;calm;caratdiageo;dentsucreativechinakfcrestore;dentsuxnonamecasestudy;diageo;donateyourwords;footlocker;greenpeacerussia;intel;irwinmitchell;morethanthatwithgiapeppers;nationalgeographic;noname;pggillette;philips;royalcaribbean;sinyirealty;surakshakateeka;swiggy;theeverythingbook;tvtokyo;vedantu;workday,job+geo,2,0.337,0.163,0.722,0.18,0.461,1.0,0.5,2,3,1,2,3,0,1,0.5,0.667,1.0,0.5,0.667,,1.0,0,18,26,26,27,8,14,17,12,10,16,1,2,2024,0.654,0.385,0.429,0.235,0.833,0.3,0.625,1.0,0.5,"Content, video & PR",Strategie & advies,Specifiek buitenland,"Software, IT & telecom",Bewustwording & gedragsverandering,Zakelijke afnemers (B2B),Groot / corporate / marktleider,False
dentsucreative.amsterdam,after,control,1.5,adobe;crisp;gls;karwei;kpn;lumion;propel;zeromalaria,channel,1,0.556,0.167,1.0,0.25,,1.0,1.0,3,6,2,4,0,1,1,0.667,0.167,1.0,0.25,,1.0,1.0,0,0,8,8,0,8,3,6,2,4,0,1,1,2022,0.0,0.0,0.667,0.167,1.0,0.25,,1.0,1.0,Social media organisch,Campagnes & creatieve concepten,Internationaal / wereldwijd,"Transport, logistics & automotive",,SaaS & software,Groot / corporate / marktleider,False
deptagency.com,before,control,1.19,aaronwegmann;allianz;avinafood;bevi;brenntag;bugaboo;canyon;foundationmedicine;fragrancedirect;ganni;gant;glendimplex;goodhabitz;hse;jbl;leoninedistributiongmbh;livelifebyturningpoint;louisianamuseum;otravo;primephonic;vangogh,model+geo,2,0.222,0.19,0.722,0.5,,0.375,1.0,,,,,,,,,,,,,,,0,,24,21,,,6,17,6,2,0,4,1,2022,0.0,0.0,0.333,0.294,0.833,0.5,,0.5,1.0,"E-mail, CRM & marketing automation",Website & webdesign,Internationaal / wereldwijd,"Media, culture & entertainment",,Zakelijke afnemers (B2B),Groot / corporate / marktleider,True
getforward.nl,before,control,2.8,bouwma;enrise;segwayveluwe;thermoshield;vaccinatiepunt,craft+job+channel+geo,4,1.0,0.625,0.556,0.333,0.556,,0.333,,,,,,,,,,,,,,,0,,5,5,,,4,4,3,3,3,0,3,2023,0.6,0.6,1.0,0.75,0.667,0.333,0.667,,0.333,"SEA, display & overige paid advertising",Online adverteren (paid ads),Regionaal (binnen Nederland),Healthcare & care,Advertenties & campagnes renderen niet,,Omvang in cijfers,False
getforward.nl,after,control,1.0,annelieboersma;arassecurity;bouwmabouwmachines;curveswear;delimeal;dorgelovoertuigopties;ekelhoffkeukens;enrise;ernstbrokmeier;henniezoontjes;ladieswork;lengersyachts;mehranmohammad;pieterwahlen;reddingsbrigadenederland;rutgerdegroot;thermoshield;woonin,craft+channel,2,0.388,0.312,,,0.5,,,6,7,0,0,2,0,0,0.5,0.429,,,0.5,,,0,2,18,18,3,16,7,8,0,0,2,0,0,2023,0.0,0.0,0.571,0.5,,,0.5,,,"SEA, display & overige paid advertising",Online adverteren (paid ads),,,"Meer leads, aanvragen & verkoop",,,True
gigaleads.nl,before,narrower,3.333,123zonnepaneelpakket;diamondflame;lotteverhelst;smartnrg;wout;yesdakkapellen,industry+craft+job+channel,4,1.0,0.389,0.5,0.44,1.0,0.5,,,,,,,,,,,,,,,,6,,12,6,,,4,6,2,5,4,2,0,2024,0.667,0.833,1.0,0.5,0.5,0.6,1.0,0.5,,Social media organisch,"Outcome-verkoop (leads, omzet, groei)",Heel Nederland (landelijk),"Construction, real estate & housing","Meer leads, aanvragen & verkoop",Consumentenmarkt offline,,False
buro19.nl,before,control,1.35,aktiva;botramendeuren;bouchiersport2000;cisper;deboervanderweijde;dokterfrodo;fasten;gs3legbordstellingen;heldenvanstaal;meijernotarissen;oomsbouwontwikkeling;rabobank;remax;retailresult;schadenberg;simonloos;spotict;tacoadviseert;vloerendirect;vrijwilligerspunt,job+stage+geo,3,0.286,0.18,0.556,0.333,0.389,1.0,0.556,,,,,,,,,,,,,,,0,,35,20,,,14,20,3,3,6,1,3,2024,0.2,0.0,0.357,0.25,0.667,0.333,0.5,1.0,0.667,SEO & organische vindbaarheid,Branding & huisstijl,Nederlandse stad of plaats,Manufacturing & industrial,Content & creatieve productie,Webshop consumenten (D2C),Omvang in cijfers,False
cloudfactory.nl,before,control,2.778,adidas;booking;epica;heineken;jacobsdouweegberts;kfc;strongbow;thesalvationarmy;twitter,industry+channel+stage+geo,4,0.592,0.281,0.625,0.429,0.36,,1.0,,,,,,,,,,,,,,,0,,19,9,,,7,8,4,7,5,0,3,2023,1.0,0.0,0.714,0.375,0.75,0.571,0.4,,1.0,Social media organisch,"Video, animatie & fotografie",Internationaal / wereldwijd,"Food, beverage & agriculture",Personeel werven & werkgeversmerk,,Omvang in cijfers,True
buro28.nl,before,narrower,1.765,campingderoos;color4kids;dasandereholland;dierenkliniekwestervoortduiven;dieuwkeottens;erfgoedfestivalovergrenzenvangelderlandenlimburg;erfgoedgelderland;gelderland;geuzenwaard;hanskraus;hengelsportfederatiemiddennederland;homefood;huisenerfgoedcollectief;jachthavenhattem;krachtdoorkunst;landgoeddevlaminckhorst;marketingoost;nationalewandelmonitor;nederlandsopenluchtmuseum;ondernemingsraadpostnl;postnl;praktijkvoorseksuelegezondheidhaarlemnoord;regionaalbureauvoortoerismerivierenland;rivierenland;routebureaubrabant;rtvarnhem;sportservicerhenen;sportvisserijoostnederland;stadsgidsenindeschijnwerpers;stichtingcolour4kids;toerismegelderland;toerismeveluwearnhemnijmegen;visitbrabant;wandelnet,craft+geo,2,1.0,0.521,0.36,0.156,,,1.0,,,,,,,,,,,,,,,2,,73,34,,,2,32,10,8,0,0,1,2020,0.5,0.0,1.0,0.688,0.5,0.25,,,1.0,Offline media & events,"Grafisch ontwerp, drukwerk & print",Regionaal (binnen Nederland),"Media, culture & entertainment",,,Startup / jong / groeiend,False
fundament.nl,before,narrower,1.625,asr;bajeskwartier;bentwijck;blauwhoed;dekeizermakelaarsgroep;downtownbrokers;haarzichtvleuten;hetnieuwbouwplatformzuyderzee;nieuwveenselanden;oostenburg;radyus;roelofs;tersteegebouwvastgoed;vestingkwartierhelpermaar;vorm;woonworkshop,industry+job+geo,3,0.5,0.281,0.556,0.68,0.625,1.0,1.0,,,,,,,,,,,,,,,1,,19,16,,,2,8,3,5,4,1,1,2023,0.312,0.0,0.5,0.375,0.667,0.8,0.75,1.0,1.0,Apps & custom platforms,Website & webdesign,Nederlandse stad of plaats,"Construction, real estate & housing",Website verouderd of nieuw nodig,Gemengd,Familiebedrijf / gevestigd met historie,False
fundament.nl,after,narrower,1.88,acantus;amalphastramien;asr;bajeskwartier;bamireland;bentwijck;blauwhoed;buurtboost;chipprefab;dekeizermakelaarsgroep;downtownbrokers;eeserwold;efconcepts;helpermaar;hoofdpijnklinieken;hrmakelaars;onderwijsgroepnoord;oostenburg;pierreetvacances;pim;radyus;rockfieldrealestate;symbioliving;terravo;vorm,industry+job,2,0.25,0.262,0.278,0.438,0.429,1.0,0.5,2,9,3,7,4,0,0,0.5,0.556,0.333,0.571,0.5,,,8,9,42,25,7,16,4,15,6,11,7,1,2,2023,0.44,0.0,0.25,0.4,0.333,0.636,0.571,1.0,0.5,Apps & custom platforms,Branding & huisstijl,Nederlandse stad of plaats,"Construction, real estate & housing",Website verouderd of nieuw nodig,Gemengd,Omvang in cijfers,False
communicatieteam.nl,before,narrower,2.5,brabantzorg;carsys;fortisabella;gemeenteshertogenbosch;golfton;hak;hetsintjanslyceum;hoppenbrouwerstechniek;jumbo;jumbotechcampus;laplace;laplaceduinrell;noordoostbrabantwerkt;odura;resilux;textaafoam;transvita;yris,job,1,0.22,0.236,0.322,0.153,0.333,0.5,1.0,,,,,,,,,,,,,,,0,,57,18,,,10,12,11,12,12,2,2,2023,0.667,0.167,0.3,0.333,0.455,0.25,0.5,0.5,1.0,Social media organisch,Strategie & advies,Regionaal (binnen Nederland),"Hospitality, tourism, sports & recreation",Personeel werven & werkgeversmerk,Consumentenmarkt offline,Startup / jong / groeiend,True
addvision.nl,before,control,1.0,pooltrading,,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0,,1,1,,,1,1,0,0,0,0,0,2023,0.0,0.0,1.0,1.0,,,,,,"E-mail, CRM & marketing automation",Website & webdesign,,,,,,True
addvision.nl,after,control,3.727,baden;betonstaalnl;cavallofloors;destoffenkraam;jandor;labapp;lastechniekrijnmond;nidecnetherlands;pooltrading;stokvistapes;zwaanmetaal,craft+model+stage+geo,4,0.235,0.504,0.57,0.223,0.24,0.388,0.556,5,10,5,5,7,7,3,0.6,0.5,0.4,0.4,0.429,0.429,0.667,1,1,55,11,0,10,9,11,11,11,11,11,3,2023,1.0,0.727,0.333,0.545,0.727,0.364,0.364,0.545,0.667,SEO & organische vindbaarheid,Website & webdesign,Nederlandse stad of plaats,Manufacturing & industrial,Webshop & online verkoop,Zakelijke afnemers (B2B),Omvang in cijfers,True
cuttheweb.nl,before,control,1.083,amsterdamcricketacademy;bijhoogies;bluebaycuraaogolfbeachresort;bodelcampus;hetbroodthuis;infopuntzorg;kikid;rdgkompagne;saakeshop;sietskekoenemode;stichtingijproducties;voustenmode,,0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,3,,16,12,,,1,1,0,1,0,0,1,2025,0.0,0.0,1.0,1.0,,1.0,,,1.0,SEO & organische vindbaarheid,"Outcome-verkoop (leads, omzet, groei)",,Retail & e-commerce (general consumer goods),,,MKB / middelgroot,False
cuttheweb.nl,after,control,1.083,amsterdamcricketacademy;bijhoogies;bluebaycuraaogolfbeachresort;bodelcampus;hetbroodthuis;infopuntzorg;kikid;rdgkompagne;saakeshop;sietskekoenemode;stichtingijproducties;voustenmode,,0,0.5,1.0,,1.0,,,,0,0,0,0,0,0,0,,,,,,,,0,12,12,12,0,0,2,1,0,1,0,0,0,2025,0.0,0.0,0.5,1.0,,1.0,,,,SEO & organische vindbaarheid,Strategie & advies,,Retail & e-commerce (general consumer goods),,,,False
daburo.nl,before,control,1.0,brightpremium;brugmankeukens;keukenconcurrent;tuestuderen,craft,1,,0.625,,,,,,,,,,,,,,,,,,,,3,,7,4,,,0,4,0,0,0,0,0,2020,0.0,0.0,,0.75,,,,,,,UX/UI & interface design,,,,,,True
boodschapenbeeld.nl,after,control,2.5,bewonersverenigingmiddenhoeve;boskalis;degroenepollepel;denkslank;findigo20;findigoadvies;hetparkhuis;loopbaancoachingdrechtsteden;onns;robfashionformen;schoonenberghoorsupport;snsbank;snsbankspijkenisse;snsspijkenisse;tandartspraktijkstellamaris;vanhalemhaarstudio;vanspronsenmakelaars;zoomermakelaardij;zoomernijptaxatieburo;zoomerwantijrun,craft+job+stage+geo,4,0.256,0.32,0.58,0.133,0.541,1.0,0.333,0,0,0,0,0,0,0,,,,,,,,0,18,49,20,3,2,11,16,10,14,14,2,6,2023,0.75,0.05,0.455,0.5,0.7,0.214,0.714,1.0,0.5,Social media organisch,Branding & huisstijl,Nederlandse stad of plaats,"Construction, real estate & housing","Merk, huisstijl & verhaal",Consumentenmarkt offline,Klein / zelfstandig,True
conversiepartners.nl,after,narrower,3.75,babyplus;climerbenelux;dirkdewitmode;glashandeldekroon;knippingnederland;nikkosports;triplesolar;villapureza,industry+channel+geo,3,0.406,0.188,0.375,0.44,0.265,0.28,1.0,3,3,1,2,2,3,0,1.0,0.333,1.0,0.5,0.5,0.667,,0,0,16,8,4,8,8,8,4,5,7,5,1,2023,1.0,1.0,0.5,0.25,0.5,0.6,0.429,0.4,1.0,"SEA, display & overige paid advertising",Online adverteren (paid ads),Heel Nederland (landelijk),Retail & e-commerce (general consumer goods),Advertenties & campagnes renderen niet,Webshop consumenten (D2C),Familiebedrijf / gevestigd met historie,False
converzo.nl,before,narrower,1.848,4x4center;4x4centernl;adgoossens;amarensschuurmans;andreenericagodschalk;andregodschalk;anneloesdekort;bartroos;bemoeibureau013;bizonsoftware;blikhr;btm;coldpalm;dennisvane;dolcevillas;drageninschagen;eengelukkigehondnl;ellesnijkamp;ericagodschalk;erikmolenaar;f3design;feju;gate2;guusvandewal;hansvanzelst;harmvrijsen;heerbeeckcollege;heerbeeckenkempenhorstcollege;horseflex;ingridarnou;interteach;joostbeelenkamp;joostscholte;jsegers;keetjeaant;klessebasjes;lindagroeneveld;lococlassics;martijn;mooovfilmdistribution;natec;nateccorporatesite;natecvacaturesite;nicoleterdoest;nielsboers;notjustanother;ontwerpstudiokarellindatilburg;pauljoosen;roymansbevestigingsmaterialen;sociaaldomeinmlo;sofiemeijs;solidsurface;stercollege;stijnvanderloo;susanvanzelst;taalkracht;totaalboomentuinbrabant;trudydeweerd;uniquetrees;vandriel;vanhamond;vanierlandinterieurbouw;waterprof;werkenbijkse;williamedwards;witgoedservicecc,job+channel,2,0.342,0.278,0.265,0.101,0.355,0.344,0.306,,,,,,,,,,,,,,,0,,85,66,,,15,28,14,31,11,8,7,2023,0.333,0.0,0.533,0.464,0.357,0.194,0.545,0.375,0.429,Website & CMS,Website & webdesign,Regionaal (binnen Nederland),Education & childcare,Website verouderd of nieuw nodig,Webshop consumenten (D2C),Familiebedrijf / gevestigd met historie,False
bengelmedia.nl,after,control,1.765,abrandnewday;aerestrainingscentreinternational;amarodelcapo;amrefflyingdoctors;aperol;apollohotelamsterdam;bbo;benicaros;bosch;buckaroo;centreforhumandrugresearch;chdr;clancampbell;cocohazel;curaaotoeristenbureaueuropa;datadogs;davincivertalingen;everycancounts;grandsud;greenbergtraurig;hekospanten;hetoogfonds;hijman;hospitalityheroes;hsr;hstens;inspectorleonardo;kinderpostzegels;kingcolis;leonardo;libeert;meenk;missionsummit;oneplus;proefdiervrij;quorn;riff;shokz;slaapboulevardkwakernaat;stichtingmsresearch;stichtingproefdiervrij;stotsoptiek;supersales;svh;topvredeoord;veiligthuis;vikingliften;vitakruid;waterpik;woningruil24nl;zwitserlandtoerisme,,0,0.144,0.168,0.219,0.133,0.111,0.388,1.0,17,24,0,0,0,0,0,0.471,0.292,,,,,,3,22,62,51,2,29,33,46,8,16,18,7,1,2023,0.392,0.059,0.242,0.304,0.25,0.188,0.167,0.429,1.0,"Content, video & PR",Campagnes & creatieve concepten,Heel Nederland (landelijk),Healthcare & care,Naamsbekendheid & zichtbaarheid,Consumentenmarkt offline,Klein / zelfstandig,False
betawerk.nl,before,narrower,2.0,10voornatuurkunde;alzheimercentrumlimburg;bcoonderwijsadviesenondersteuning;brandweervakmanschapp;brandweerzuidlimburg;brightlands;exploremaastrichtunderground;gemeentemaastricht;huisvoordekunsten;humankind;kinderopvanghumanitas;maastrichtmarketing;maastrichtumc;museumpleinlimburg;myinlife;opdepedalen;qwiek;swipequest;ucenter,job+channel+stage,3,0.51,0.421,0.344,0.185,0.34,,1.0,,,,,,,,,,,,,,,0,,19,19,,,7,11,8,9,10,0,4,2020,0.526,0.0,0.571,0.455,0.375,0.222,0.5,,1.0,Website & CMS,Apps & maatwerk platforms,Regionaal (binnen Nederland),Government & public sector,Website verouderd of nieuw nodig,,Omvang in cijfers,False
edenfrost.com,after,control,2.5,almerecitymarketing;amsterdampartners;amsterdamsciencepark;apmterminals;boats;broadstreet;cityofamsterdam;cubatravelnetwork;erveeurope;expatcenter;gemeenteamsterdamknowninenglishasthecityofamsterdam;iamsterdam;inamsterdam;leshuttle;netherlandsinstituteforadvancedstudy;nias,craft+channel+model+geo,4,0.388,0.42,0.429,0.181,0.284,0.625,1.0,0,1,1,1,1,0,0,,1.0,1.0,1.0,1.0,,,0,15,24,16,1,1,7,13,7,12,9,4,1,2025,0.562,0.188,0.571,0.615,0.571,0.25,0.333,0.75,1.0,SEO & organische vindbaarheid,Content & copywriting,Nederlandse stad of plaats,"Hospitality, tourism, sports & recreation",Content & creatieve productie,Zakelijke afnemers (B2B),Familiebedrijf / gevestigd met historie,False
eenvoud.nl,before,control,2.714,aquaforall;dehortusbotanicus;ggd;hartmuseum;heldenmedia;hoorneboeg;jacobsdouweegberts;liga;naznw;noordwijksegolfclub;royalagrifirm;schadefondsgeweldsmisdrijven;steeleryachts;vqyachts,craft+job+geo,3,0.36,0.388,0.469,0.14,0.63,1.0,,,,,,,,,,,,,,,,0,,14,14,,,5,14,8,11,9,1,0,2025,0.857,0.071,0.4,0.571,0.625,0.182,0.778,1.0,,Website & CMS,Website & webdesign,Nederlandse stad of plaats,"Media, culture & entertainment",Website verouderd of nieuw nodig,Zakelijke afnemers (B2B),,False
8ontwerp.nl,before,control,1.769,assetmanagementawareness;basfconnected2care;basfcorporatedrukwerk;bertplantagie;igepa1010;igepamailings;igepanederland;imagile;prointensafrica;safetygo;scrumbld;simpuls;simwall,craft,1,,0.708,0.5,0.2,0.5,1.0,,,,,,,,,,,,,,,,1,,23,13,,,0,12,2,5,2,1,0,2023,0.385,0.0,,0.833,0.5,0.2,0.5,1.0,,,"Grafisch ontwerp, drukwerk & print",Nederlandse stad of plaats,Retail & e-commerce (general consumer goods),Events & activaties,SaaS & software,,False
deregiekamer.nl,before,control,2.667,arval;bistroinpetto;deamersfoortseberg;favoritegifts;heffiq;heffiqinterntransport;vanderendesteelprotectors;vandervliet;vostransport,craft+model+stage,3,0.28,0.383,0.184,0.25,0.222,0.556,0.44,,,,,,,,,,,,,,,1,,24,9,,,5,9,7,8,6,3,5,2025,0.778,0.0,0.4,0.556,0.286,0.375,0.333,0.667,0.6,SEO & organische vindbaarheid,"Grafisch ontwerp, drukwerk & print",Nederlandse stad of plaats,"Transport, logistics & automotive",Events & activaties,Zakelijke afnemers (B2B),Omvang in cijfers,True
deregiekamer.nl,after,control,2.857,arval;deamersfoortseberg;favoritegifts;heffiq;vanderendesteelprotectors;vandervliet;vostransport,model+stage,2,0.5,0.265,0.184,0.222,0.222,0.556,0.625,0,0,0,0,0,0,0,,,,,,,,4,7,31,7,2,0,2,7,7,6,6,3,4,2025,1.0,0.0,0.5,0.429,0.286,0.333,0.333,0.667,0.75,SEO & organische vindbaarheid,"Grafisch ontwerp, drukwerk & print",Nederlandse stad of plaats,"Transport, logistics & automotive",Content & creatieve productie,Zakelijke afnemers (B2B),Omvang in cijfers,True
blinktuit.nl,before,narrower,2.0,dealdrechtcities;flexvakautomotive;stratt,,0,0.5,0.5,,1.0,,,,,,,,,,,,,,,,,,0,,3,3,,,2,2,0,1,0,0,0,2023,0.0,0.667,0.5,0.5,,1.0,,,,Multi-channel & omnichannel,Campagnes & creatieve concepten,,"Staffing, recruitment & HR",,,,False
blinktuit.nl,after,narrower,2.0,dealdrechtcities;flexvakautomotive;stratt,,0,0.5,0.333,,1.0,,,,0,0,0,0,0,0,0,,,,,,,,0,3,3,3,0,0,2,3,0,1,0,0,0,2023,0.0,0.667,0.5,0.333,,1.0,,,,Multi-channel & omnichannel,"Outcome-verkoop (leads, omzet, groei)",,"Staffing, recruitment & HR",,,,False
bliqvangers.nl,before,narrower,2.1,bbqeiland;exorialiqueur;flitsteam;goodwinwestbay;insightbeach;joyevents;lieshoutservice;niceey;rewind;theburgermaffia,,0,1.0,1.0,1.0,0.281,,1.0,1.0,,,,,,,,,,,,,,,0,,13,10,,,1,1,2,8,0,1,1,2023,0.1,0.0,1.0,1.0,1.0,0.375,,1.0,1.0,Social media organisch,Branding & huisstijl,Nederlandse stad of plaats,"Hospitality, tourism, sports & recreation",,Webshop consumenten (D2C),Startup / jong / groeiend,True
fideo.nl,after,control,2.158,careerdesq;careyn;centraalbeheer;communicatiemakers;datgeldtvoormijnl;decommunicatiemakers;devoorzieningenwijzer;devoorzieningenwijzernederlandseschuldhulproute;doomijn;ecostyle;engie;erikkarstfotografie;hemmink;hetstadslyceum;hogeschoolutrecht;hogeschoolvanarnhemennijmegen;honk1;marketingoost;movingintelligence;mrmuziekindeklas;nedcon;ntt;nttnetherlands;odijsselland;omgevingsdienstijsselland;organisatiezuid;prorail;provincieoverijssel;roamler;rodekruis;sallandsepraktijkleerroute;saturnpetcare;slachtofferhulpnederland;stadslyceum;veiligthuisijsselland;vonccommunicatie;wdodelta;zonneplan,craft+model+stage,3,0.309,0.642,0.336,0.148,0.169,0.556,0.68,4,11,3,3,6,0,1,0.75,1.0,0.667,0.333,0.5,,1.0,1,27,80,38,13,11,18,37,17,16,26,3,5,2023,0.474,0.263,0.444,0.784,0.353,0.25,0.231,0.667,0.8,"Content, video & PR","Video, animatie & fotografie",Nederlandse stad of plaats,Government & public sector,Personeel werven & werkgeversmerk,Zakelijke afnemers (B2B),Omvang in cijfers,False
atlantiscreative.nl,before,control,2.636,arcmarine;easysalary;frankelandgroep;gemeentenissewaard;grizzenergygum;kokwatersport;magentazorg;nissewaardwoontnl;pbmdiscounter;smartsd;sportu,industry+stage,2,0.306,0.24,0.281,0.344,0.333,0.28,0.375,,,,,,,,,,,,,,,0,,32,11,,,7,10,8,8,3,5,4,2024,0.727,0.182,0.429,0.3,0.375,0.5,0.333,0.4,0.5,Apps & custom platforms,Webshop & e-commerce,Nederlandse stad of plaats,Retail & e-commerce (general consumer goods),Naamsbekendheid & zichtbaarheid,Zakelijke afnemers (B2B),Startup / jong / groeiend,False
degelijkdesign.nl,after,control,2.15,ambulancezorggroningen;ambulancezorggroningendag;bentacera;bobkroll;brandweergroningen;cobramedical;dilemmacybergame;gemeentehethogeland;getthere;kidscasa;kirstensmit;krollsr;krollsustainabilityreporting;linqk;magetitansevent;magetitansgroningen;mauricebergman;medilime;sterinoord;voys,craft+channel+geo,3,0.389,0.378,0.429,0.181,0.337,0.333,0.25,5,13,6,12,12,3,4,0.6,0.538,0.5,0.25,0.417,0.333,0.25,4,1,29,20,4,19,6,14,7,12,13,3,4,2023,0.45,0.1,0.5,0.571,0.571,0.25,0.462,0.333,0.25,Social media organisch,"Grafisch ontwerp, drukwerk & print",Regionaal (binnen Nederland),Healthcare & care,"Merk, huisstijl & verhaal",Zakelijke afnemers (B2B),Familiebedrijf / gevestigd met historie,False
afslagzuid.nl,before,control,1.154,beumerschoenmakers;boni;denver;driezorg;fourward;ijsselheem;jci;medrie;multimart;petsco;takenszuidwijk;wijkverplegingzwolle;zonnehuisgroepijsselvecht,,0,,0.185,,1.0,,,,,,,,,,,,,,,,,,0,,25,13,,,0,9,0,1,0,0,0,2023,0.0,0.0,,0.222,,1.0,,,,,Website & webdesign,,Healthcare & care,,,,True
afslagzuid.nl,after,control,1.143,beumerschoenmakers;boni;denver;driezorg;fourward;ijsselheem;jci;medrie;multimart;petsco;stichtingbono;takenszuidwijk;wijkverplegingzwolle;zonnehuisgroepijsselvecht,,0,,0.2,,1.0,,,,0,1,0,0,0,0,0,,1.0,,,,,,0,13,26,14,0,1,0,10,0,1,0,0,0,2023,0.0,0.0,,0.3,,1.0,,,,,Branding & huisstijl,,Healthcare & care,,,,True
happiness-anywhere.com,after,control,1.636,albertheijn;bebat;burgerking;dedruglijn;lotto;marktplaats;ovk;promaz;quick;soubry;verisure,channel,1,0.5,0.25,,0.5,1.0,,,0,0,0,0,0,0,0,,,,,,,,0,5,25,11,12,6,4,4,0,2,1,0,0,2024,0.364,0.0,0.5,0.25,,0.5,1.0,,,Multi-channel & omnichannel,"Grafisch ontwerp, drukwerk & print",,Finance & insurance,"Meer leads, aanvragen & verkoop",,,True
helloitsme.online,before,control,1.286,autotelex;coronel;cottondistrict;febo;nlo;tradetracker;travelcard,,0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,0,,7,7,,,1,1,0,1,1,0,0,2020,0.143,0.0,1.0,1.0,,1.0,1.0,,,"SEA, display & overige paid advertising",Campagnes & creatieve concepten,,"Fashion, beauty & personal goods",Advertenties & campagnes renderen niet,,,False
