domain,window,cohort,avg_specificity,client_keys,demonstrated_combo,demonstrated_depth,hhi_channel,hhi_craft,hhi_geo,hhi_industry,hhi_job,hhi_model,hhi_stage,inc_n_stated_channel,inc_n_stated_craft,inc_n_stated_geo,inc_n_stated_industry,inc_n_stated_job,inc_n_stated_model,inc_n_stated_stage,inc_top1_channel,inc_top1_craft,inc_top1_geo,inc_top1_industry,inc_top1_job,inc_top1_model,inc_top1_stage,n_anonymous_rows,n_carried,n_case_rows,n_distinct_clients,n_dropped,n_new_clients,n_stated_channel,n_stated_craft,n_stated_geo,n_stated_industry,n_stated_job,n_stated_model,n_stated_stage,pivot_year,share_full_page,share_numeric,top1_channel,top1_craft,top1_geo,top1_industry,top1_job,top1_model,top1_stage,topbucket_channel,topbucket_craft,topbucket_geo,topbucket_industry,topbucket_job,topbucket_model,topbucket_stage,truncated
frontis.nl,before,narrower,3.733,arco;arepa;atagbenelux;atagverwarming;bronkhorst;egginkverpakkingen;kingspangesoleerdepanelen;prowonen;royaleijkelkamp;saniceve;schefferkeukens;sensire;ubbink;wila;winterwarm,stage,1,0.222,0.244,0.264,0.262,0.2,0.358,0.52,,,,,,,,,,,,,,,0,,26,15,,,12,15,12,15,15,9,5,2025,1.0,0.733,0.333,0.333,0.417,0.4,0.333,0.444,0.6,Apps & custom platforms,Website & webdesign,Internationaal / wereldwijd,Manufacturing & industrial,Maatwerk software & efficiëntere processen,Zakelijke afnemers (B2B),Omvang in cijfers,True
brancom.nl,after,control,1.6,ets;identitygames;koffiepartners;kroonint;verstegenspicessauces,craft+job,2,1.0,0.52,1.0,1.0,0.556,1.0,,0,3,0,0,3,1,0,,0.667,,,0.667,1.0,,0,2,10,5,0,3,1,5,1,1,3,2,0,2025,0.2,0.2,1.0,0.6,1.0,1.0,0.667,1.0,,Webshop & e-commerceplatform,Apps & maatwerk platforms,Nederlandse stad of plaats,"Food, beverage & agriculture",Webshop & online verkoop,Webshop consumenten (D2C),,False
dunepebbler.nl,after,control,2.222,ancoraimparoontwikkeling;bouwgroephorsmanco;chronosvastgoed;cranesolutions;everreadyactivebodycare;faasassurantin;gemeentekatwijk;jogg;jrsmakelaars;juweliershuysvanveensimons;ltafbouw;madamerose;nederlandsvisbureau;openarchitects;ouwehandbouw;pasman;renward;schoutenschoenen;sophiascholen;vanderzalmverswinkels;vanrhijnbouw;waalpartners;wdevelop;weboma;wonenlacarte;youvia;zegersbouw,stage+geo,2,0.255,0.213,0.625,0.302,0.224,0.5,0.375,5,8,3,0,0,0,0,0.8,0.375,1.0,,,,,0,18,33,27,1,9,14,26,16,13,14,2,4,2023,0.704,0.037,0.429,0.269,0.75,0.462,0.357,0.5,0.5,Website & CMS,Branding & huisstijl,Nederlandse stad of plaats,"Construction, real estate & housing",Lancering nieuw product of concept,"Overheid, zorg & onderwijs",Omvang in cijfers,True
dutchblue.nl,before,control,2.9,autostradaroosendaal;baggage;deepblue;fmtc;fmtcsafety;fznparts;gemeentelansingerland;goosevpn;grmexpertises;hitachiconstructionmachineryeurope;o2factoring;oazsubsidieadvies;polyestershoppennl;rondomwerk;rooseveltkliniek;safety;schuitemakersvishandel;soacare;villauk;worldwidebaggageservices,craft+geo,2,0.223,0.493,0.333,0.129,0.211,0.3,1.0,,,,,,,,,,,,,,,2,,35,20,,,11,15,6,15,16,10,2,2020,0.8,0.35,0.273,0.667,0.5,0.2,0.312,0.4,1.0,Multi-channel & omnichannel,Website & webdesign,Regionaal (binnen Nederland),"Transport, logistics & automotive",Website verouderd of nieuw nodig,Zakelijke afnemers (B2B),Startup / jong / groeiend,False
4ksproductions.com,after,control,1.25,bycz;goabroadnl;hansdemakelaar;ingriddenboer;lernendeeuregio;rocnijmegen;yourbrightsmile;zorginbalans,craft,1,,0.5,0.5,1.0,,,,0,8,2,1,0,0,0,,0.5,0.5,1.0,,,,0,0,8,8,0,8,0,8,2,1,0,0,0,2022,0.0,0.0,,0.5,0.5,1.0,,,,,Website & webdesign,Nederlandse stad of plaats,"Construction, real estate & housing",,,,True
53gradennoord.nl,before,control,1.192,bartelderenbosch;baumemercier;bruuzerribexperience;cafedekuip;desmulpot;devrijheidrondvaarten;gerbrandzoetelief;hoteltexel;jaaptuitman;johnsmit;koogerrestaurant;kooppleinnl;martijneelman;nioz;oranjerievogelhuis;pollodekoog;renskevanderloo;robstapersma;roestverfshop;schouwstraciviel;tantesjaan;texelsgoudcom;texelsun;vvvtexel;wimpool;yorout,industry+stage+geo,3,,0.352,1.0,0.625,1.0,,1.0,,,,,,,,,,,,,,,1,,29,26,,,0,16,3,4,1,0,5,2025,0.0,0.0,,0.438,1.0,0.75,1.0,,1.0,,"Grafisch ontwerp, drukwerk & print",Nederlandse stad of plaats,"Hospitality, tourism, sports & recreation",Website verouderd of nieuw nodig,,Klein / zelfstandig,True
digitaaldoen.nl,before,narrower,1.0,ancovangeffen;annytalolyta;geavanbruggen;jacquelinekonermann;jolandabast;peterpost;remmeltotten;sabinestruycken;tomaarnoudse,,0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1,,10,9,,,1,1,0,0,1,0,0,2023,0.0,0.0,1.0,1.0,,,1.0,,,Multi-channel & omnichannel,Strategie & advies,,,Beter vindbaar in Google,,,False
digitaaldoen.nl,after,narrower,1.25,antipestcontrol;beleggencom;copywritingvoorondernemers;kotatsu,,0,0.5,0.5,,,,,,2,2,0,0,0,0,0,0.5,0.5,,,,,,12,0,16,4,9,4,2,2,0,0,0,0,0,2023,0.0,0.25,0.5,0.5,,,,,,"SEA, display & overige paid advertising","E-mailmarketing, automation & funnels",,,,,,False
digitalguys.nl,before,control,1.75,lightofindia;luitenfruit;profeelmammacare;telefoonpunt,craft,1,,0.375,,0.333,,,,,,,,,,,,,,,,,,0,,4,4,,,0,4,0,3,0,0,0,2022,0.0,0.0,,0.5,,0.333,,,,,Website & webdesign,,"Food, beverage & agriculture",,,,False
betawerk.nl,after,narrower,2.381,apg;brandweervakmanschapp;brandweerzuidlimburg;brightlands;daelzicht;dcmrmilieudienstrijnmond;exploremaastricht;gemeentemaastricht;gemeentevenlo;humankind;lygature;maastrichtumc;mijnbreincoach;myinlife;nedlin;skaobservatory;ucenter;vademecummetabolicum;veiligheidsregiolimburgnoord;zonmw;zzpnederland,craft+job+channel+stage,4,0.654,0.492,0.289,0.136,0.44,,1.0,5,8,5,6,8,0,3,0.8,0.625,0.4,0.167,0.625,,1.0,0,8,24,21,11,13,9,16,11,13,15,0,7,2020,0.714,0.048,0.778,0.625,0.455,0.231,0.6,,1.0,Website & CMS,Website & webdesign,Regionaal (binnen Nederland),Healthcare & care,Website verouderd of nieuw nodig,,Omvang in cijfers,True
